Date,Tm,,Opp,Result2,Result,GS,MP2,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,plmi
5/12/00,LAL,@,PHO,W,1,1,47:34:00,47,8,20,0.4,0,2,0,9,13,0.692,2,3,5,2,2,2,3,4,25,15.1,8
5/14/00,LAL,@,PHO,L,0,1,36:54:00,36,10,20,0.5,0,5,0,3,6,0.5,1,2,3,5,2,0,2,4,23,15,-17
5/16/00,LAL,,PHO,W,1,1,34:07:00,34,6,16,0.375,1,3,0.333,4,4,1,1,0,1,3,1,0,2,3,17,8.8,22
5/20/00,LAL,,POR,W,1,1,38:11:00,38,4,9,0.444,0,1,0,5,7,0.714,1,2,3,6,1,1,1,5,13,11.7,19
5/22/00,LAL,,POR,L,0,1,41:43:00,41,2,9,0.222,1,2,0.5,7,8,0.875,0,2,2,4,2,1,2,5,12,8.2,-28
5/26/00,LAL,@,POR,W,1,1,47:44:00,47,11,18,0.611,1,1,1,2,2,1,2,5,7,7,2,1,3,5,25,22.3,2
5/28/00,LAL,@,POR,W,1,1,45:47:00,45,5,15,0.333,2,3,0.667,6,7,0.857,1,3,4,7,2,3,3,4,18,15.1,12
5/30/00,LAL,,POR,L,0,1,34:16:00,34,4,13,0.308,1,3,0.333,8,9,0.889,1,4,5,4,0,2,6,6,17,6.8,-4
6/2/00,LAL,@,POR,L,0,1,48:00:00,48,12,24,0.5,6,9,0.667,3,6,0.5,0,2,2,6,4,3,3,5,33,25.7,-10
6/4/00,LAL,,POR,W,1,1,46:57:00,46,9,19,0.474,1,4,0.25,6,12,0.5,0,11,11,7,0,4,2,4,25,20.3,8
6/7/00,LAL,,IND,W,1,1,38:24:00,38,6,13,0.462,0,2,0,2,2,1,0,3,3,5,1,2,2,4,14,10.5,15
6/9/00,LAL,,IND,W,1,1,8:55,8,1,3,0.333,0,1,0,0,0,0,0,1,1,4,0,1,0,1,2,3.7,3
6/14/00,LAL,@,IND,W,1,1,46:49:00,46,14,27,0.519,0,0,0,0,0,0,2,2,4,5,1,2,3,4,28,18,2
6/16/00,LAL,@,IND,L,0,1,36:44:00,36,4,20,0.2,0,1,0,0,0,0,1,4,5,3,2,0,0,5,8,-0.4,-22
