Date,Age,Tm,,Opp,Result,GS,MP2,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,plmi
12/14/99,27-283,LAL,,LAC,W,1,29:23:00,29,9,18,0.5,0,0,0,3,5,0.6,6,13,19,1,1,3,0,1,21,22.7,38
12/16/99,27-285,LAL,@,ATL,W,1,28:14:00,28,4,15,0.267,0,0,0,1,5,0.2,5,8,13,4,0,1,6,6,9,-0.5,1
12/17/99,27-286,LAL,@,MIN,W,1,45:32:00,45,10,19,0.526,0,0,0,4,11,0.364,3,10,13,7,2,2,7,3,24,17.1,6
12/19/99,27-288,LAL,@,TOR,W,1,42:20:00,42,9,20,0.45,0,0,0,6,13,0.462,3,12,15,3,0,5,2,3,24,18.9,2
12/20/99,27-289,LAL,@,BOS,W,1,45:43:00,45,13,20,0.65,0,0,0,8,17,0.471,4,16,20,2,0,2,8,3,34,22.8,9
12/25/99,27-294,LAL,,SAS,W,1,37:36:00,37,13,22,0.591,0,0,0,6,12,0.5,3,8,11,2,0,5,2,5,32,24.8,7
12/27/99,27-296,LAL,,DAL,W,1,40:12:00,40,14,26,0.538,0,0,0,7,10,0.7,6,8,14,3,0,3,7,4,35,23.4,3
12/29/99,27-298,LAL,,PHO,W,1,44:25:00,44,11,23,0.478,0,1,0,5,9,0.556,6,13,19,7,0,5,6,3,27,23,5
1/4/00,27-304,LAL,@,LAC,W,1,40:07:00,40,17,26,0.654,0,0,0,4,9,0.444,6,9,15,2,0,3,1,3,38,32.8,22
1/5/00,27-305,LAL,,LAC,W,1,34:57:00,34,17,24,0.708,0,0,0,6,9,0.667,3,16,19,1,1,2,2,4,40,35.2,8
1/7/00,27-307,LAL,,CHH,W,1,47:52:00,47,8,16,0.5,0,0,0,7,15,0.467,4,12,16,4,0,4,3,4,23,19.2,2
